Date,Open,High,Low,Close,Adj Close,Volume
2020-09-01,0.037230,0.040459,0.037163,0.039852,0.039852,1575774
2020-09-02,0.039849,0.040356,0.037527,0.038553,0.038553,1725232
2020-09-03,0.038570,0.039341,0.037337,0.037644,0.037644,1915303
2020-09-04,0.037546,0.037736,0.036348,0.036934,0.036934,1593170
2020-09-05,0.036915,0.037334,0.031331,0.032967,0.032967,2938183
2020-09-06,0.032974,0.034783,0.031716,0.034373,0.034373,2688982
2020-09-07,0.034381,0.034712,0.032751,0.034010,0.034010,2098798
2020-09-08,0.034061,0.034140,0.033029,0.033322,0.033322,1775786
2020-09-09,0.033344,0.034718,0.033125,0.034280,0.034280,1420371
2020-09-10,0.034311,0.036096,0.034280,0.035520,0.035520,3032009
2020-09-11,0.035522,0.036215,0.035064,0.036025,0.036025,2624410
2020-09-12,0.036016,0.037113,0.035644,0.037079,0.037079,1273242
2020-09-13,0.037111,0.036842,0.034310,0.035411,0.035411,1453531
2020-09-14,0.035423,0.035715,0.034692,0.035322,0.035322,1641884
2020-09-15,0.035311,0.035275,0.033746,0.033791,0.033791,1494921
2020-09-16,0.033782,0.033820,0.033317,0.033332,0.033332,1467677
2020-09-17,0.033337,0.035997,0.033298,0.035530,0.035530,1817476
2020-09-18,0.035559,0.035750,0.034740,0.035119,0.035119,1289072
2020-09-19,0.035090,0.034859,0.034647,0.034751,0.034751,995958
2020-09-20,0.034756,0.034756,0.033912,0.033922,0.033922,1123779
2020-09-21,0.033954,0.034226,0.032265,0.032668,0.032668,1662955
2020-09-22,0.032663,0.033037,0.032374,0.032690,0.032690,1208201
2020-09-23,0.032701,0.032936,0.031073,0.031288,0.031288,1175757
2020-09-24,0.031291,0.032800,0.031121,0.032468,0.032468,1250974
2020-09-25,0.032468,0.033288,0.031962,0.032935,0.032935,1146039
2020-09-26,0.032969,0.033042,0.032582,0.033018,0.033018,1026606
2020-09-27,0.032983,0.033558,0.032856,0.033161,0.033161,1063954
2020-09-28,0.033160,0.033645,0.033037,0.033143,0.033143,1130056
2020-09-29,0.033145,0.033224,0.032914,0.033193,0.033193,948536
2020-09-30,0.033191,0.033512,0.033098,0.033383,0.033383,906269
2020-10-01,0.033382,0.033812,0.033107,0.033263,0.033263,1163965
2020-10-02,0.033262,0.033265,0.032300,0.032766,0.032766,1224116
2020-10-03,0.032763,0.033201,0.032687,0.032924,0.032924,815179
2020-10-04,0.032919,0.033166,0.032756,0.033096,0.033096,872437
2020-10-05,0.033089,0.033112,0.032930,0.032824,0.032824,920363
2020-10-06,0.032811,0.032940,0.032115,0.032158,0.032158,1084251
2020-10-07,0.032165,0.032195,0.031766,0.032067,0.032067,987642
2020-10-08,0.032064,0.032392,0.031856,0.032197,0.032197,1054539
2020-10-09,null,null,null,null,null,null
2020-10-10,0.033025,0.033086,0.033021,0.032840,0.032840,1205564
2020-10-11,0.032836,0.033114,0.032754,0.032953,0.032953,1105438
2020-10-12,null,null,null,null,null,null
2020-10-13,null,null,null,null,null,null
2020-10-14,0.033430,0.033561,0.033045,0.033202,0.033202,1217799
2020-10-15,0.033177,0.033361,0.032844,0.032834,0.032834,1301760
2020-10-16,0.032871,0.032951,0.032308,0.032346,0.032346,1295763
2020-10-17,0.032327,0.032561,0.032298,0.032475,0.032475,964168
2020-10-18,0.032464,0.033004,0.032417,0.032936,0.032936,962010
2020-10-19,0.032958,0.032521,0.032708,0.032357,0.032357,1091058
2020-10-20,0.032338,0.032422,0.030925,0.030977,0.030977,1153172
2020-10-21,0.030971,0.030472,0.030983,0.030583,0.030583,1578432
2020-10-22,0.030529,0.031922,0.030583,0.031912,0.031912,1216488
2020-10-23,0.031934,0.032201,0.031608,0.031687,0.031687,1102438
2020-10-24,0.031687,0.031692,0.031625,0.031466,0.031466,930858
2020-10-25,0.031466,0.031384,0.031149,0.031173,0.031173,835704
2020-10-26,0.031173,0.031344,0.029882,0.030125,0.030125,1159113
2020-10-27,0.030125,0.029999,0.029788,0.029588,0.029588,1020962
2020-10-28,0.029588,0.029797,0.029287,0.029285,0.029285,1151090
2020-10-29,0.029285,0.029003,0.029303,0.028779,0.028779,961497
2020-10-30,0.028779,0.028726,0.028459,0.028260,0.028260,1010448
2020-10-31,0.028260,0.028018,0.028186,0.028052,0.028052,818298
2020-11-01,0.028052,0.028690,0.028262,0.028853,0.028853,762544
2020-11-02,0.028853,0.029203,0.028735,0.028276,0.028276,1032994
2020-11-03,0.028276,0.027899,0.027833,0.027785,0.027785,902382
2020-11-04,0.027785,0.028671,0.027791,0.028453,0.028453,1070213
2020-11-05,0.028453,0.026734,0.027624,0.026577,0.026577,991069
2020-11-06,0.026577,0.029220,0.026669,0.029213,0.029213,1075320
2020-11-07,0.029213,0.029654,0.029505,0.029373,0.029373,1272321
2020-11-08,0.029373,0.029276,0.029354,0.029300,0.029300,729503
2020-11-09,0.029301,0.029007,0.029194,0.028969,0.028969,893819
2020-11-10,0.028969,0.029404,0.028794,0.029408,0.029408,790691
2020-11-11,0.029408,0.029814,0.029399,0.029485,0.029485,896446
2020-11-12,0.029485,0.029018,0.028317,0.028324,0.028324,791168
2020-11-13,0.028324,0.029122,0.028232,0.029086,0.029086,808412
2020-11-14,0.029086,0.029120,0.028762,0.028637,0.028637,641769
2020-11-15,0.028637,0.028700,0.027816,0.028050,0.028050,646082
2020-11-16,0.028050,0.027582,0.028028,0.027521,0.027521,684603
2020-11-17,0.027788,0.027263,0.027808,0.027223,0.027223,827017
2020-11-18,0.027222,0.026995,0.026625,0.026931,0.026931,1004280
2020-11-19,0.026931,0.026799,0.026777,0.026471,0.026471,700110
2020-11-20,0.026471,0.027577,0.026471,0.027374,0.027374,1000463
2020-11-21,0.027374,0.029515,0.027175,0.029475,0.029475,1113445
2020-11-22,0.029475,0.031138,0.029054,0.030379,0.030379,1195811
2020-11-23,0.030379,0.033127,0.030622,0.033133,0.033133,1485086
2020-11-24,0.033137,0.033614,0.031043,0.031605,0.031605,1218464
2020-11-25,0.031606,0.031628,0.030118,0.030466,0.030466,1072409
2020-11-26,0.030457,0.030524,0.029659,0.030250,0.030250,1813579
2020-11-27,0.030268,0.030466,0.030018,0.030248,0.030248,983792
2020-11-28,0.030254,0.030717,0.030039,0.030379,0.030379,833657
2020-11-29,0.030381,0.031697,0.030289,0.031674,0.031674,826160
2020-11-30,0.031674,0.031247,0.031092,0.031328,0.031328,1033172
2020-12-01,0.031340,0.032006,0.030301,0.031236,0.031236,1445459
2020-12-02,0.031232,0.031325,0.031138,0.031162,0.031162,879288
2020-12-03,0.031168,0.031813,0.031049,0.031715,0.031715,830335
2020-12-04,0.031716,0.031740,0.030418,0.030447,0.030447,873679
2020-12-05,0.030447,0.031147,0.030254,0.031147,0.031147,704701
2020-12-06,0.031146,0.031441,0.030925,0.031114,0.031114,583656
2020-12-07,0.031108,0.031092,0.030924,0.030839,0.030839,558602
2020-12-08,0.030842,0.030947,0.030227,0.030283,0.030283,785918
2020-12-09,0.030282,0.031273,0.029603,0.030909,0.030909,854586
2020-12-10,0.030910,0.030986,0.030612,0.030642,0.030642,639069
2020-12-11,0.030642,0.030675,0.030491,0.030223,0.030223,614590
2020-12-12,0.030211,0.030316,0.030193,0.030237,0.030237,453878
2020-12-13,0.030239,0.030734,0.030065,0.030804,0.030804,473837
2020-12-14,0.030810,0.030611,0.030282,0.030447,0.030447,422195
2020-12-15,0.030448,0.030592,0.030432,0.030352,0.030352,480332
2020-12-16,0.030354,0.029668,0.030128,0.029853,0.029853,742225
2020-12-17,0.029852,0.028726,0.027886,0.028190,0.028190,1117270
2020-12-18,0.028192,0.028655,0.028101,0.028300,0.028300,680972
2020-12-19,0.028292,0.027778,0.028127,0.027621,0.027621,537536
2020-12-20,0.027616,0.027879,0.026900,0.027188,0.027188,569736
2020-12-21,0.027189,0.026897,0.026958,0.026743,0.026743,632348
2020-12-22,0.026725,0.026730,0.026276,0.026694,0.026694,620017
2020-12-23,0.026692,0.026622,0.024488,0.025115,0.025115,656649
2020-12-24,0.025133,0.025935,0.024833,0.025767,0.025767,603195
2020-12-25,0.025765,0.025770,0.025765,0.025397,0.025397,548187
2020-12-26,0.025401,0.024573,0.024970,0.024051,0.024051,558350
2020-12-27,0.024053,0.025969,0.023021,0.025983,0.025983,993197
2020-12-28,0.026005,0.027493,0.026005,0.026967,0.026967,894323
2020-12-29,0.026966,0.027338,0.026603,0.026734,0.026734,683809
2020-12-30,0.026733,0.026190,0.026038,0.026061,0.026061,599653
2020-12-31,0.026061,0.025810,0.025727,0.025440,0.025440,480208
2021-01-01,0.025437,0.025473,0.024930,0.024864,0.024864,464763
2021-01-02,0.024865,0.023743,0.024583,0.024108,0.024108,614455
2021-01-03,0.024108,0.030294,0.023758,0.029757,0.029757,1378819
2021-01-04,0.029805,0.034985,0.031762,0.032536,0.032536,1781125
2021-01-05,0.032575,0.034451,0.032395,0.032360,0.032360,1221917
2021-01-06,0.032390,0.032843,0.031606,0.032780,0.032780,1213868
2021-01-07,0.032806,0.031973,0.031885,0.031131,0.031131,1027863
2021-01-08,0.031139,0.030490,0.028993,0.030007,0.030007,1086702
2021-01-09,0.029995,0.032014,0.029510,0.031824,0.031824,825574
2021-01-10,0.031819,0.032873,0.033166,0.032908,0.032908,1058934
2021-01-11,0.032892,0.032892,0.030257,0.030651,0.030651,1707600
2021-01-12,0.030605,0.031643,0.030885,0.030759,0.030759,1105287
2021-01-13,0.030768,0.030244,0.030467,0.030301,0.030301,806879
2021-01-14,0.030288,0.031283,0.029552,0.031093,0.031093,852595
2021-01-15,0.031180,0.031617,0.031285,0.031821,0.031821,976828
2021-01-16,0.031811,0.034454,0.032399,0.034096,0.034096,893336
